,AUD,BDT,BND,BRL,CAD,CHF,CNY,CZK,DKK,EGP,EUR,GBP,HKD,IDR,ILS,INR,JPY,KES,KHR,KRW,KWD,LAK,LKR,MYR,NOK,NPR,NZD,PHP,PKR,RSD,RUB,SAR,SEK,SGD,THB,USD,VND,ZAR
2012-07-02,898.12,10.707,686.18,436.49,861.71,923.0,138.19,43.58,149.53,145.89,1109.0,1374.2,113.18,9.3479,224.66,15.817,1099.9,10.418,21.497,76.795,3136.3,10.953,6.5886,277.54,147.35,10.262,703.33,20.907,9.2763,9.604,27.103,234.12,126.88,692.46,27.816,878.0,4.2281,107.54
2012-07-03,903.35,10.732,694.03,439.37,865.55,921.61,138.56,43.502,149.35,145.55,1107.2,1380.7,113.46,9.3792,224.67,15.899,1105.3,10.454,21.527,76.97,3141.8,10.975,6.5983,278.17,147.39,10.249,707.42,21.04,9.2974,9.6129,27.087,234.65,126.97,694.25,27.848,880.0,4.2237,107.74
2012-07-04,907.92,10.744,695.54,442.58,869.82,923.72,138.69,43.457,149.22,145.48,1109.5,1381.6,113.62,9.4199,224.59,16.252,1106.0,10.478,21.465,77.7,3144.5,10.991,6.6136,280.31,147.59,10.213,709.43,21.15,9.308,9.6267,27.191,234.92,127.13,697.3,28.031,881.0,4.2132,108.46
2012-07-05,906.52,10.766,699.43,437.67,871.5,921.33,139.03,43.476,149.28,145.8,1106.7,1376.8,113.87,9.4388,225.18,16.206,1103.7,10.514,21.559,77.657,3150.3,11.013,6.6092,279.56,147.72,10.264,709.84,21.198,9.339,9.6439,27.385,235.45,127.48,697.69,28.005,883.0,4.2305,108.89
2012-07-06,906.34,10.793,697.61,435.66,869.87,910.31,138.75,43.097,148.06,145.79,1094.3,1370.9,113.86,9.4011,225.04,16.071,1104.7,10.493,21.544,77.555,3145.0,11.004,6.6004,278.77,146.91,10.238,712.18,21.122,9.3588,9.5346,27.225,235.45,127.39,696.73,27.934,883.0,4.2245,108.45
2012-07-07,906.34,10.793,697.61,435.66,869.87,910.31,138.75,43.097,148.06,145.79,1094.3,1370.9,113.86,9.4011,225.04,16.071,1104.7,10.493,21.544,77.555,3145.0,11.004,6.6004,278.77,146.91,10.238,712.18,21.122,9.3588,9.5346,27.225,235.45,127.39,696.73,27.934,883.0,4.2245,108.45
2012-07-08,906.34,10.793,697.61,435.66,869.87,910.31,138.75,43.097,148.06,145.79,1094.3,1370.9,113.86,9.4011,225.04,16.071,1104.7,10.493,21.544,77.555,3145.0,11.004,6.6004,278.77,146.91,10.238,712.18,21.122,9.3588,9.5346,27.225,235.45,127.39,696.73,27.934,883.0,4.2245,108.45
2012-07-09,900.1,10.766,694.48,434.11,865.94,903.0,138.74,42.214,145.89,144.75,1084.3,1367.1,113.87,9.3518,223.82,15.936,1109.7,10.44,21.312,77.304,3137.9,10.999,6.5891,276.89,144.32,10.18,704.4,21.099,9.3836,9.3702,26.802,235.45,125.8,694.4,27.807,883.0,4.1977,107.01
2012-07-10,901.72,10.8,694.89,435.3,866.88,905.41,138.86,42.481,146.09,145.46,1088.0,1371.7,113.99,9.3629,223.46,15.848,1111.9,10.498,21.422,77.361,3141.9,11.018,6.6152,277.9,144.75,10.223,703.93,21.105,9.3843,9.3849,26.82,235.72,125.88,696.53,27.873,884.0,4.2185,106.98
2012-07-11,901.82,10.79,697.43,435.25,866.03,903.34,138.98,42.77,146.24,146.03,1084.8,1373.4,114.12,9.3725,223.55,15.976,1115.3,10.548,21.642,77.266,3145.3,11.027,6.6321,278.0,145.4,10.174,703.02,21.119,9.3661,9.4009,26.887,235.98,126.52,697.95,27.9,885.0,4.2423,107.71
2012-07-12,900.62,10.778,697.74,434.64,865.78,900.07,138.75,42.696,145.7,145.88,1080.8,1370.4,114.0,9.3893,222.98,15.941,1110.1,10.527,21.529,77.111,3138.5,11.011,6.6132,277.73,144.91,9.9586,702.31,21.123,9.3594,9.4107,26.937,235.72,126.68,698.54,27.851,884.0,4.2258,107.61
2012-07-13,894.42,10.737,693.56,432.05,864.74,895.55,138.17,42.407,144.69,145.34,1075.4,1359.7,113.58,9.2932,221.77,15.779,1110.2,10.492,21.407,76.472,3126.3,10.969,6.5931,276.22,144.04,9.8955,695.23,20.924,9.3307,9.3589,26.919,234.91,125.51,693.51,27.704,881.0,4.2138,106.05
2012-07-14,894.42,10.737,693.56,432.05,864.74,895.55,138.17,42.407,144.69,145.34,1075.4,1359.7,113.58,9.2932,221.77,15.779,1110.2,10.492,21.407,76.472,3126.3,10.969,6.5931,276.22,144.04,9.8955,695.23,20.924,9.3307,9.3589,26.919,234.91,125.51,693.51,27.704,881.0,4.2138,106.05
2012-07-15,894.42,10.737,693.56,432.05,864.74,895.55,138.17,42.407,144.69,145.34,1075.4,1359.7,113.58,9.2932,221.77,15.779,1110.2,10.492,21.407,76.472,3126.3,10.969,6.5931,276.22,144.04,9.8955,695.23,20.924,9.3307,9.3589,26.919,234.91,125.51,693.51,27.704,881.0,4.2138,106.05
2012-07-16,899.43,10.756,695.29,431.75,867.29,896.5,138.01,42.387,144.89,145.69,1076.8,1370.2,113.45,9.3023,222.49,15.958,1112.2,10.445,21.472,76.662,3125.0,10.966,6.5672,276.77,144.3,10.013,700.44,20.995,9.322,9.3389,26.995,234.64,125.16,695.16,27.826,880.0,4.2335,106.41
2012-07-17,903.95,10.713,696.43,431.25,867.68,900.52,137.9,42.381,144.6,145.14,1081.0,1377.6,113.33,9.2775,221.43,16.007,1114.4,10.441,21.448,76.926,3121.1,10.96,6.5706,277.77,144.07,9.9701,702.75,21.051,9.3114,9.2767,26.969,234.38,124.74,696.76,27.861,879.0,4.2205,106.57
2012-07-18,902.95,10.703,694.88,430.82,865.66,896.67,137.47,42.477,144.55,144.45,1077.2,1371.6,112.94,9.2576,220.23,15.939,1107.7,10.403,21.438,76.859,3110.2,10.93,6.5555,277.61,143.96,9.9422,698.43,21.035,9.2649,9.2022,26.984,233.58,124.93,695.71,27.704,876.0,4.2139,106.87
2012-07-19,902.95,10.703,694.88,430.82,865.66,896.67,137.47,42.477,144.55,144.45,1077.2,1371.6,112.94,9.2576,220.23,15.939,1107.7,10.403,21.438,76.859,3110.2,10.93,6.5555,277.61,143.96,9.9422,698.43,21.035,9.2649,9.2022,26.984,233.58,124.93,695.71,27.704,876.0,4.2139,106.87
2012-07-20,902.95,10.703,694.88,430.82,865.66,896.67,137.47,42.477,144.55,144.45,1077.2,1371.6,112.94,9.2576,220.23,15.939,1107.7,10.403,21.438,76.859,3110.2,10.93,6.5555,277.61,143.96,9.9422,698.43,21.035,9.2649,9.2022,26.984,233.58,124.93,695.71,27.704,876.0,4.2139,106.87
2012-07-21,902.95,10.703,694.88,430.82,865.66,896.67,137.47,42.477,144.55,144.45,1077.2,1371.6,112.94,9.2576,220.23,15.939,1107.7,10.403,21.438,76.859,3110.2,10.93,6.5555,277.61,143.96,9.9422,698.43,21.035,9.2649,9.2022,26.984,233.58,124.93,695.71,27.704,876.0,4.2139,106.87
2012-07-22,902.95,10.703,694.88,430.82,865.66,896.67,137.47,42.477,144.55,144.45,1077.2,1371.6,112.94,9.2576,220.23,15.939,1107.7,10.403,21.438,76.859,3110.2,10.93,6.5555,277.61,143.96,9.9422,698.43,21.035,9.2649,9.2022,26.984,233.58,124.93,695.71,27.704,876.0,4.2139,106.87
2012-07-23,899.85,10.654,693.08,430.66,859.41,880.76,136.56,41.449,142.47,142.82,1057.6,1360.1,112.42,9.2007,217.6,15.766,1113.4,10.356,21.174,76.034,3096.6,10.866,6.6395,275.38,143.76,9.7909,693.05,20.824,9.2353,9.0635,27.074,232.52,125.58,691.62,27.478,872.0,4.1571,105.23
2012-07-24,894.02,10.638,691.19,428.93,855.05,879.4,136.34,41.26,141.84,143.09,1056.2,1351.7,112.28,9.1805,216.1,15.562,1113.0,10.338,21.189,75.785,3089.5,10.855,6.6472,274.07,143.03,9.782,687.29,20.711,9.2247,9.0139,26.9,232.26,125.05,690.56,27.399,871.0,4.1657,103.86
2012-07-25,894.02,10.638,691.19,428.93,855.05,879.4,136.34,41.26,141.84,143.09,1056.2,1351.7,112.28,9.1805,216.1,15.562,1113.0,10.338,21.189,75.785,3089.5,10.855,6.6472,274.07,143.03,9.782,687.29,20.711,9.2247,9.0139,26.9,232.26,125.05,690.56,27.399,871.0,4.1657,103.86
2012-07-26,900.74,10.683,692.72,427.2,859.68,882.67,136.65,41.38,142.09,143.91,1060.0,1352.3,112.54,9.2016,214.36,15.61,1117.7,10.346,21.227,76.115,3093.3,10.883,6.6754,275.7,143.24,9.8222,690.34,20.749,9.2479,8.9386,26.587,232.79,125.19,695.26,27.592,873.0,4.1793,103.01
2012-07-27,907.39,10.663,697.09,430.08,864.44,892.5,136.85,41.834,144.09,143.9,1071.9,1368.1,112.54,9.204,214.07,15.751,1115.4,10.632,21.262,76.472,3096.3,10.891,6.659,276.4,144.23,9.8615,698.12,20.788,9.2528,8.9704,26.841,232.79,126.01,697.54,27.635,873.0,4.1879,104.58
2012-07-28,907.39,10.663,697.09,430.08,864.44,892.5,136.85,41.834,144.09,143.9,1071.9,1368.1,112.54,9.204,214.07,15.751,1115.4,10.632,21.262,76.472,3096.3,10.891,6.659,276.4,144.23,9.8615,698.12,20.788,9.2528,8.9704,26.841,232.79,126.01,697.54,27.635,873.0,4.1879,104.58
2012-07-29,907.39,10.663,697.09,430.08,864.44,892.5,136.85,41.834,144.09,143.9,1071.9,1368.1,112.54,9.204,214.07,15.751,1115.4,10.632,21.262,76.472,3096.3,10.891,6.659,276.4,144.23,9.8615,698.12,20.788,9.2528,8.9704,26.841,232.79,126.01,697.54,27.635,873.0,4.1879,104.58
2012-07-30,914.42,10.694,699.73,432.03,869.82,894.44,137.03,42.54,144.75,144.15,1074.4,1374.2,112.68,9.234,215.94,15.819,1114.2,10.368,21.268,76.899,3101.5,10.911,6.6218,277.28,144.6,9.8783,705.98,20.842,9.2389,9.0871,27.195,233.06,127.24,699.87,27.685,874.0,4.1904,107.12
2012-07-31,919.5,10.711,702.11,431.77,874.13,894.13,137.14,42.476,144.38,144.21,1073.0,1374.6,112.83,9.2251,216.32,15.786,1119.6,10.379,21.324,77.191,3103.6,10.917,6.634,277.91,144.42,9.8709,708.04,20.881,9.2544,9.1061,27.223,233.32,127.92,701.85,27.685,875.0,4.193,106.81
2012-08-01,916.9,10.684,702.67,428.12,872.34,895.14,137.48,42.545,144.46,144.08,1075.1,1370.5,112.85,9.2446,217.89,15.735,1122.0,10.379,21.423,77.564,3103.3,10.92,6.6364,280.18,144.96,9.8291,708.47,20.931,9.2397,9.1401,27.177,233.32,128.76,702.39,27.76,875.0,4.1924,106.6
2012-08-02,916.9,10.684,702.67,428.12,872.34,895.14,137.48,42.545,144.46,144.08,1075.1,1370.5,112.85,9.2446,217.89,15.735,1122.0,10.379,21.423,77.564,3103.3,10.92,6.6364,280.18,144.96,9.8291,708.47,20.931,9.2397,9.1401,27.177,233.32,128.76,702.39,27.76,875.0,4.1924,106.6
2012-08-03,915.32,10.684,700.7,427.76,869.35,886.7,137.42,42.285,143.75,144.01,1065.1,1357.3,112.83,9.2421,220.01,15.668,1120.3,10.381,21.365,77.001,3102.9,10.91,6.6368,279.06,144.96,9.7959,709.31,20.841,9.2397,9.0399,26.945,233.32,128.9,700.5,27.677,875.0,4.1813,104.89
2012-08-04,915.32,10.684,700.7,427.76,869.35,886.7,137.42,42.285,143.75,144.01,1065.1,1357.3,112.83,9.2421,220.01,15.668,1120.3,10.381,21.365,77.001,3102.9,10.91,6.6368,279.06,144.96,9.7959,709.31,20.841,9.2397,9.0399,26.945,233.32,128.9,700.5,27.677,875.0,4.1813,104.89
2012-08-05,915.32,10.684,700.7,427.76,869.35,886.7,137.42,42.285,143.75,144.01,1065.1,1357.3,112.83,9.2421,220.01,15.668,1120.3,10.381,21.365,77.001,3102.9,10.91,6.6368,279.06,144.96,9.7959,709.31,20.841,9.2397,9.0399,26.945,233.32,128.9,700.5,27.677,875.0,4.1813,104.89
2012-08-06,923.16,10.705,704.36,430.99,873.3,901.31,137.24,42.902,145.49,144.96,1083.4,1365.4,112.71,9.2365,219.64,15.676,1113.6,10.381,21.608,77.606,3098.2,10.906,6.6237,281.71,146.13,9.882,715.37,20.927,9.2291,9.1232,27.322,233.05,130.32,703.87,27.742,874.0,4.2227,107.27
